accuracy,precision,recall,f1,roc_auc,mcc,dataset,algorithm,seed
0.9932,0.9948453608247423,0.9905902480752781,0.9927132447492499,0.9997069293847638,0.9863470580530622,NSL-KDD,Gradient Boosting,123
0.9944,0.9931682322801024,0.9948674080410608,0.994017094017094,0.9993630855708354,0.9887552193871995,NSL-KDD,Gradient Boosting,2024
0.996,0.9957264957264957,0.9957264957264957,0.9957264957264957,0.9990713964398177,0.9919670972302551,NSL-KDD,Gradient Boosting,99
0.9864,0.981340118744699,0.9897348160821214,0.985519591141397,0.9963996017838745,0.972730875051499,NSL-KDD,SVM (RBF),42
0.9836,0.9771766694843618,0.9880341880341881,0.9825754356141096,0.9973536405115353,0.967139760619619,NSL-KDD,SVM (RBF),7
0.9836,0.9779661016949153,0.9871685201026519,0.9825457641549595,0.9968539897772342,0.9671182626856337,NSL-KDD,SVM (RBF),123
0.9856,0.9780590717299578,0.9914456800684346,0.9847068819031436,0.9968552751746695,0.9711827288939848,NSL-KDD,SVM (RBF),2024
0.9904,0.9839527027027027,0.9957264957264957,0.989804587935429,0.9989839984576826,0.9807968347687355,NSL-KDD,SVM (RBF),99
0.8,0.9251700680272109,0.6528,0.7654784240150094,0.87100512,0.6278237088702054,Phishing,Logistic Regression,42
0.7948,0.9098998887652948,0.6544,0.7612843182875756,0.85866048,0.614316211140878,Phishing,Logistic Regression,7
0.8124,0.9567251461988304,0.6544,0.7771971496437055,0.8631513600000001,0.6585443459172344,Phishing,Logistic Regression,123
0.7964,0.9093922651933701,0.6584,0.7638051044083527,0.8484361600000001,0.6167562720150908,Phishing,Logistic Regression,2024
0.7908,0.9311981020166074,0.628,0.7501194457716197,0.85563744,0.6151193221858187,Phishing,Logistic Regression,99
0.8212,0.9890377588306942,0.6496,0.7841622404635442,0.88215104,0.6839409679037993,Phishing,Decision Tree,42
0.8336,0.9727891156462585,0.6864,0.8048780487804879,0.8841103999999999,0.6981399642636684,Phishing,Decision Tree,7
0.824,0.9832935560859188,0.6592,0.789272030651341,0.8731990399999998,0.686352942390277,Phishing,Decision Tree,123
0.8208,0.9773809523809524,0.6568,0.785645933014354,0.8694815999999999,0.6791734202030212,Phishing,Decision Tree,2024
0.818,0.9806529625151149,0.6488,0.7809340394800193,0.8738368,0.6758750323940423,Phishing,Decision Tree,99
0.8648,0.9093357271095153,0.8104,0.8570219966159053,0.9253257600000001,0.7339570184558908,Phishing,Random Forest,42
0.8592,0.9204119850187266,0.7864,0.8481449525452976,0.9160540800000001,0.7261380612555257,Phishing,Random Forest,7
0.858,0.9186155285313377,0.7856,0.8469167744717551,0.9192303999999999,0.7236263383942129,Phishing,Random Forest,123
0.8444,0.8989805375347544,0.776,0.8329755259768141,0.9068848000000002,0.6953370810785976,Phishing,Random Forest,2024
0.8536,0.9177693761814745,0.7768,0.841421143847487,0.9150262400000001,0.7156930518346641,Phishing,Random Forest,99
0.8516,0.952626158599382,0.74,0.8329581269698334,0.9090118399999999,0.7213989691833901,Phishing,Gradient Boosting,42
0.8348,0.9543973941368078,0.7032,0.809765085214187,0.90171072,0.6940720851577284,Phishing,Gradient Boosting,7
0.8344,0.9456289978678039,0.7096,0.8107861060329068,0.89812096,0.6906600623036714,Phishing,Gradient Boosting,123
0.8252,0.9442622950819672,0.6912,0.7981524249422632,0.8881043200000001,0.6750957365467848,Phishing,Gradient Boosting,2024
0.828,0.9648526077097506,0.6808,0.798311444652908,0.89526272,0.6864205883647579,Phishing,Gradient Boosting,99
0.8372,0.9795221843003413,0.6888,0.8088304368248004,0.88848352,0.7062226296794958,Phishing,SVM (RBF),42
0.8312,0.9758620689655172,0.6792,0.8009433962264151,0.8830579199999999,0.6953074908811184,Phishing,SVM (RBF),7
0.8284,0.9767711962833914,0.6728,0.7967787778304122,0.88901248,0.6911178414961126,Phishing,SVM (RBF),123
0.8264,0.9722222222222222,0.672,0.7947019867549668,0.8682537600000001,0.6863436782412851,Phishing,SVM (RBF),2024
0.8192,0.9761336515513126,0.6544,0.7835249042145593,0.88016928,0.6761847506511618,Phishing,SVM (RBF),99
